collocation
низкая околоземная орбита
пограничное расстройство личности
одна ласточка весны не делает
бетоносмесительный завод
учредительные документы
звонильная неделя
стилистическая фигура
морской бой
уложить в голове
коррупциогенный фактор
этот номер не пройдёт
частная собственность
финский язык
Экваториальная Гвинея
тёщина комната
определитель n-го порядка
вотчинная монархия
полезное ископаемое
монетная единица
рассеянное скопление
идти к венцу
сельскохозяйственный комбайн
вязальная машина
живой труп
бить большим боем
скрепя сердце
"на тебе, Боже, что нам негоже"
государственный заказ
кормоуборочный комбайн
проклятый вопрос
структурная единица
последний писк моды
Северная Дакота
сельскохозяйственная культура
революционный трибунал
так что
асептический менингит
дать барабана
накрыться медным тазом
жать масло
попасться на глаза
колюр равноденствий
завалиться спать
засадить сатану
спортивный снаряд
принять последний вздох
алюминат натрия
Верхняя Салда
истекать слезами
только бы
гипербарическая барокамера
раковая опухоль
изящная словесность
надуть губы
Королевство Испания
абазинский язык
аэропорт назначения
ежели бы
диетический стол
плавиковая кислота
вгонять в краску
по цепочке
с утречка
коммутативная операция
математический анализ
регулярное масонство
не давать ходу
антиинфекционный препарат
толковый словарь
ад в груди
на охоту ехать — собак кормить
частично сросшийся сучок
бог подаст
вторая власть
верительная грамота
смертный грех
комплексная плоскость
альвеолярный согласный
"дружба дружбой, а табачок врозь"
увял торжественный венок
оцинкованный кузов
недостаточный глагол
страха ради иудейска
аридный климат
эдипов комплекс
домашнее животное
копорский чай
золотая молодёжь
неопределённое местоимение
несовершенный вид
разведка боем
из-под полы
коммерческий подлог
вырви глаз II
с юных лет
кадетский корпус
наименование юридического лица
Евро-Атлантический регион
грамматическое число
боевая единица
