"shortname","formalname"
г,Москва
п,Новофедоровское
п,Первомайское
п,Филимонковское
п,Киевский
п,Внуковское
п,Вороновское
п,Краснопахорское
п,Щаповское
п,Михайлово-Ярцевское
п,Рязановское
п,Десеновское
п,Воскресенское
п,Марушкинское
п,Мосрентген
п,Кленовское
п,Роговское
п,Кокошкино
п,Московский
п,Сосенское
г,Зеленоград
г,Щербинка
г.,Московский
г,Троицк
д,Клоково
д,Шарапово
д,Юрово
д,Жуковка
п,Ульяновского лесопарка
п,Городок писателей Переделкино
д,Мачихино
д,Петрово
д,Середнево
д,Лопатино
д,Кончеево
д,Поляны
д,Губцево
д,Саларьево
д,Кузовлево
д,Картмазово
п,Станции Мачихино
тер,Ручей
п,Детского дома Молодая Гвардия
п,Заречный
д,Ерино
д,Яковлево
д,Девятское
д,Товарищево
д,Радиомаяк
д,Пудово-Сипягино
д,Ильино
х,Ильичевка
д,Львово
д,Харьино
п,"1-й Рабочий Посёлок"
д,Архангельское
тер,Сколково инновационного центра
п,Заречье
рп,Заречье
п,Лесной
д,Каменка
промзона,Южный промышленный район
д,Чириково
д,Никоново
п,Липки
д,Спас-Купля
п,Армейский
д,Красная Пахра
д,Тарасово
д,Сенькино-Секерино
п,Назарьево
дп,Бристоль
д,Терехово
х,Шалово
п,Мневники Нижн.
д,Свитино
п,Загорье
д,Игнатово
д,Борки
п,дорожно-ремонтного пункта-3
х,Малинки
п,Спортбазы
п,Сосновка
д,Сальково
д,Починки
д,Сколково
п,Зосимова Пустынь
п,Матвеевское
п,Марьино
д,Новомихайловское
п,подсобного хозяйства Воскресенское
п,Новобратцевский
х,Говорово
д,Батыбино
п,Терехово
д,Ярцево
д,Конаково
с,Ознобишино
нп,д/о Известия
п,Бутово
п,Шлюзы
п,Узкое
д,Рыбино
тер,КП Променад
п,Восточный
д,Дровнино
д,Лукошкино
п,Подушкино
п,Заречный
п,Толстопальцево
п,Новобутаково
п,Некрасовка
д,Вяткино
д,Рождественно
д,Андреевское
д,Васюнино
д,Заболотье
д,Кутузово
д,Горнево
д,Иваньково
п,НИАТ и Верховный суд
п/о,Рязаново
д,Давыдово
д,Климовка
п,Внуково
п,Курилово
п,Рублево
д,Шахово
д,Грибки
п,"дома отдыха ""Пахра"""
п,Малино
д,Костишово
д,Юрьевка
п,"дома отдыха ""Плесково"""
д,Толстопальцево
п,Свиблово
д,Богоявление
п,Мещерский
д,Малыгино
д,Сатино-Татарское
с,Богоявление
п,Лесные Сторожки
д,Шаганино
п,Милицейский
с,Михайловское
п,Рожки
д,Исаково
п,Знамя Октября
д,Молодцы
д,Дубовка
д,Голохвастово
д,Бурцево КП Променад
п,Ерино
д,Князево
п,Крюково
кв-л,"191"
д,Немчиново
п,Измайловская Пасека
п,Главмосстроя
д,Старогромово
п,Акулово
п,Ухтомский
д,Овечкино
п,Ватутинки-1
д,Марфино
д,Страдань
д,Косовка
п,Заречье
д,Старосырово
д,Чегодаево
д,Юрово
тер,КП Цветочный
с,Былово
д,Ясенки
д,Романцево
п,Секерино
п,подсобного хозяйства Минзаг
д,Александрово
д,Алхимово
п,Алабушево
тер,СНТ Тринити-Сад (Вороновское с/п)
д,Троица
д,Студенцы
с,Вороново
д,Коротыгино
д,Рыжово
д,Мостовское
д,Филино
д,Сатино-Русское
д,Юдановка
п,Фабрики им 1 Мая
д,Подосинки
д,Троицкое
п,Рогово
д,Новогромово
п,Щапово
д,Жохово
д,Киселёво
д,Акулово
п,Остафьево
д,Колотилово
д,Кузенево
д,Варварино
д,Семенково
д,Голенищево
д,Сахарово
п,Пос.3
д,Бунчиха
д,Ворсино
п,Жилой поселок 3
д,Рязаново
с,Сальково
д,Станиславль
д,Чернецкое
д,Лыковка
д,Никульское
д,Власьево
п,Рассудово
д,Раево
с,Красное
д,Зыбино
п,Михайловского Лесничества
п,Назарьевское лесн-во
д,Софьино
д,Кривошеино
д,Лужки
д,Милюково
д,Безобразово
д,Мешково
д,Бараново
д,Городок
п,ЛМС
дп,сдт Отдых
д,Яковлевское
с,Никольское
д,Пятовское
д,Дмитровка
с,Кленово
д,Кокошкино
д,Красная Луговая
д,Рассудово
д,Ботаково
п,Станция Бекасово
д,Русино
д,Рожново
д,Анкудиново
п,Озерный
д,Пенино
с,Красная Пахра
д,Рассказовка
п,Красное
д,Кукшево
д,Маврино
д,Бакланово
х,Брёхово
д,Хатминки
д,Марьино
д,Шеломово
п,Метрополитена (Детский городок)
д,Кресты
х,Новобрёхово
д,Дешино
х,Санино
д,Пучково
дп,дск Московский Писатель
промзона,Восточный промышленный район
д,Тетеринки
д,Конюшково
д,Уварово
д,Зименки
п,Коммунарка
д,Передельцы
д,Постниково
д,Евсеево
п,Воскресенское
п,Кузнецовский
п,Лукино
п,Тимуровец ДГ
д,Большое Свинорье
п,Птичное
п,д/о Воскресенское
д,Богородское
д,Лапшинка
п,Заозерный
д,Шельбутово
п,Разъезда Пожитково
х,Шалово
п,Рассудовское лесн-во
д,Власово
д,Староселье
п,дск Мичуринец
х,Гаврилово
п,Совхоза Крёкшино
п,Санаторий Переделкино
д,Лукино
д,Нижнее Валуево
д,Кувекино
нп,ТИЗ Ново-Внуково
д,Дудкино
д,Пыхчево
д,Николо-Хованское
д,Изварино
д,Каменка
п,Газопровод
п,Подсобное х-во Лапашинка
д,Ликова
д,Десна-Агропункт
д,Бачурино
д,Пушкино
д,Акатово
п,Минвнешторга
д,Богородское
д,Прокшино
тер,Ватутинки
д,Никольское
п,Института Полиомиелита
нп,Ж/к Дубровка
д,Долгино
п,Санаторий N39
д,Пыхтино
тер,Полет
рп,Киевский
д,Десна
п,Внуково
д,Румянцево
д,Милорадово
д,Юрьево
д,Сосенки
д,Мамыри
п,Изваринской школы
д,Каракашево
нп,Деревня Сосенки ж/к Дубровка
д,Верхнее Валуево
д,Лаптево
д,Писково
д,Внуково
д,Марфино
д,Ширяево
д,Зверево
д,Шарапово
п,Крекшино
п,Переделкино
п,Круги
п,Толстопальцево ОПХ
д,Настасьино
д,Ивановское
п,Филимонки
д,Расторопово
п,Дистанции Пути-1
п,Радиоцентр
п,Подсобное х-во Толстопальцево
д,Мешково
п,Ватутинки
д,Анино
д,Язово
д,Алымовка
п,Первомайское
д,Акиньшино
д,Малеевка
нп,Бурцево
дп,Кокошкино
п,Кирпичного Завода
д,Руднево
д,Киселёвка
д,Новиково
п,Красные Горки
д,Тупиково
д,Ватутинки
д,Пахорка
д,Верховье
д,Городище
д,Соколово
д,Белоусово
х,Хутора Гуляевы
д,Ожигово
д,Крёкшино
д,Кузнецово
д,Елизарово
д,Макарово
д,Бурцево
д,Черепово
п,Станции Внуково
д,Хмырово
п,Санаторий N10
д,Голохвастово
п,Капустинка
д,Каменка
д,Марушкино
п,завода Мосрентген
д,Ларево
д,Двачевка
д,Рогозинино
п,Нововнуково
д,Большое Покровское
д,Ямонтово
д,Говорово
д,Фоминское
д,Давыдково
п,Заречный-2
д,Поповка
д,Горчаково
п,Санатория N14
п,Станции Крёкшино
п,Абабурово
тер,ДПК Звезда-2000
п,Ремзавод
д,Столбово
х,Талызина
п,"дома отдыха ""Вороново"""
д,Чириково
д,Летово
д,Песье
п,Валуево
д,Санино
д,Бабенки
д,Круча
д,Армазово
д,Федоровское
с,Свитино
с,Остафьево
п,Мичуринец
д,Акулово
п,Шишкин Лес
с,Покровское
д,Губкино
тер,Хованская промзона
д,Новинки
д,Кнутово
д,Кленовка
проезд,Дубровский
ул,Элеваторная
пл,Зденека Неедлы
ул,Парковая 12-я
ул,Борисовские Пруды
ул,Дорогомиловская Б.
проезд,Остаповский
ул,Внуковская 4-я
ул,Фабрициуса
ул,Библиотечная
проезд,Стрелецкий 1-й
км,МКАД 41-й
проезд,Михайловский Верхн. 1-й
проезд,Рощинский 2-й
ул,Ивановская
ул,Боженко
пер,Брюсов
пер,Пречистенский
ул,Печорская
км,МКАД 22-й
пер,Ланинский
ул,Донская
ул,Новокузьминская 4-я
пер,Земледельческий
ул,Кабельная 3-я
ул,Николаева
ул,Гиляровского
ул,Аргуновская
ул,Кухмистерова
нп,Свиблово Ст.
ул,Очаковская
проезд,Завода Серп и Молот
пр-д,Проектируемый 1980-й
б-р,Красногвардейский
ул,Садовники
наб.,Новикова-Прибоя
ул,Кутузова
пер,Новокирочный
пер,Овчинниковский Ср.
ул,Радиальная 10-я
ул,Первомайская Верхн.
ул,Нижегородская
ул,Мелитопольская 2-я
пер,Ружейный
ул,Таёжная
ш,Международное
туп,Ордынский
ул,Мытищинская 1-я
ул,Басманная Стар.
ул,Артековская
км,Мжд Рязанское 9-й
ул,Толбухина
пер,Колодезный
проезд,Дубнинский
ул,Новотетёрки
ул,Воскресенская
пер,Тверской-Ямской 2-й
ул,Марии Ульяновой
наб,Лихоборская
пл,Севастопольская
проезд,Люберецкий 4-й
км,МКАД 33-й
пер.,Очаковский 1-й
ул,Пионерская М.
пер,Упорный
пер,Перуновский
пер,Ухтомский
ул,Раменки
ул,Дениса Давыдова
ул,Внуковская 2-я
аллея,Пролетарского Входа
пер,Леснорядский
ул,Златоустовская
пер,Козловский Б.
ул,Венёвская
ул,Братьев Фонченко
пер,Бронницкий
ул,Павлоградская 3-я
ул,Живописная
ул,Коминтерна
аллея,Продольная
ул,Абельмановская
проезд,Нагатинский 1-й
пл,Арбатские Ворота
ул,Гончарова
наб,Пресненская
проезд,Курьяновский 1-й
пер,Козихинский М.
ул,Молчановка Б.
пер,Балакиревский
пер,Полевой 2-й
проезд,Студёный
проезд,Русанова
пер,Вадковский
км,МКАД 19-й
ул,Мякининская 5-я
пл,Сретенские Ворота
ул,Веерная
проезд,Михайловский Верхн. 2-й
ул,Буракова
ш,Машкинское
ул,Колпинская
ул,Губкина
пер,Электрический
ул,Комсомольская
км,МКАД 49-й
пер.,Уваровский
пер,Крутицкий 3-й
ул,Острякова
пер,Факультетский
ул,Маршала Василевского
ул,Щорса
ул,Академика Янгеля
пер,Милютинский
пер,Добрынинский 1-й
пр-кт,Пролетарский
ул,Лазенки 5-я
ул,Знаменка
ул,Пречистенка
проезд,Нижнелихоборский 1-й
ул,Генерала Рычагова
ул,Приозёрная
ул,Козлова
пер,Зоологический
пер,Дохтуровский
ул,Ширяевская М.
б-р,Матроса Железняка
ул,Филёвская Б.
пер,Электрозаводский 2-й
пер,Харитоньевский М.
пл,Зубовская
ул,Александра Невского
ул,Калужская М.
ул,Золоторожская
проезд,Плавский
наб,Ганнушкина
км,МКАД 40-й
пер,Балканский Б.
пер,Амурский
ул,Забелина
туп,Новоясеневский
ул,Ткацкая
ул,Тихвинская
ул,Митинская
ул,Кантемировская
проезд,Михайловский Верхн. 3-й
пер,Дербеневский 2-й
пер,Колпачный
проезд,Задонский
пл,Абельмановская Застава
ш,Востряковское
ул,Старокачаловская
ул,Яхромская
ул,Новотушинская
пер,Токмаков
проезд,Орехово-Зуевский
ш,Обводное
ул,Бунинская Аллея
наб,Москворецкая
ш,Коровинское
пер,Хлебный
пр-кт,Ленинградский
ул,Костикова
проезд,Мишин
пер,Лялин
ул,Лобачевского
пер,Нащокинский
пер,Предтеченский Верхн.
проезд,Павелецкий 1-й
аллея,Нарышкинская
ул,Хохловка Верхн.
проезд,Дорожный 1-й
